PersonID,PillarID
10499,59
10499,82
10499,91
9177,102
2174,-99999
6513,14
6513,90
1944,-99999
2022,8
2022,9
2022,11
13769,79
13769,81
18810,45
18810,83
18810,102
18810,118
1075,102
1075,111
1075,118
14049,58
14049,93
12057,83
12057,109
12057,129
14738,14
11720,132
2985,53
2985,55
2985,87
2985,88
4582,-99999
6259,30
6259,35
6259,39
6259,111
6259,112
1303,-99999
16359,54
16359,55
16359,56
16359,57
16359,58
16359,59
16359,75
16359,78
16359,79
16359,87
16359,91
16359,92
16359,102
16359,111
15552,88
15552,112
18578,-99999
14909,92
14909,93
18958,91
18958,106
8613,-99999
1831,5
1831,100
1831,104
13277,111
853,23
853,44
853,69
853,70
853,124
853,-18
3217,-99999
10045,76
10045,80
10045,94
10045,97
10045,100
10045,101
10045,129
11501,7
11501,8
11501,58
11501,88
11501,93
11501,96
11501,97
11501,98
11501,99
10456,43
10456,51
10456,84
10456,85
10456,86
10456,110
19664,45
19664,51
19664,53
19664,55
19664,80
19664,83
19664,88
12633,77
18394,43
18394,45
18394,50
18394,51
18394,52
18394,75
18394,78
18394,79
18394,83
18394,84
18394,100
18394,111
13879,-99999
7117,-99999
11084,-99999
2242,88
19678,51
17739,-10
15210,76
15210,80
15210,100
15210,101
1446,88
1446,93
1446,112
15564,88
1344,75
1344,78
4341,74
4341,76
18912,45
18912,59
18912,83
18912,91
18912,92
18912,102
18912,105
18912,109
18912,111
13930,45
13930,77
13930,83
13930,91
13930,92
13930,111
18996,91
18996,92
18996,102
18996,111
18996,118
2515,5
19349,45
19349,83
19349,102
19349,105
19349,109
19349,110
19349,111
19349,118
2919,111
8979,67
8979,68
8979,74
828,111
828,112
8764,47
14464,102
14464,108
14464,118
14361,58
14361,88
14361,91
9170,39
9170,47
9170,102
9091,5
10750,-99999
15307,-99999
16852,5
11998,126
11770,45
11770,83
11770,92
11770,93
11770,102
11770,108
11770,111
12752,44
12752,53
12752,55
12752,56
12752,57
12752,58
12752,61
12752,62
12752,70
12752,75
12752,78
12752,79
12752,80
12752,81
12752,104
6116,53
6116,55
6116,56
6116,57
6116,59
5609,43
5609,50
5609,51
5609,52
5609,61
5609,62
5609,88
6813,-99999
8738,47
14807,49
14807,82
14807,91
14807,-7
13054,-99999
8632,5
3790,-99999
5426,109
17774,8
17774,9
17774,39
17774,90
17774,94
17774,97
17774,-10
7854,19
7854,21
7854,22
7854,23
7854,42
7854,81
7854,102
7854,107
7854,108
11049,44
11049,70
11049,75
11049,78
11049,79
11049,82
11049,102
8615,5
11448,14
8173,-99999
8521,90
12374,50
12374,51
12374,52
12374,53
12374,55
13836,33
13836,107
16491,75
16491,78
16491,80
16491,81
16491,87
16491,88
16491,100
16491,102
16491,110
6898,27
19251,45
19251,56
19251,57
19251,80
19251,83
19251,88
19251,91
19251,92
19251,100
19251,101
19251,111
17409,9
17409,97
11252,4
11252,5
11252,7
1211,-99999
8407,4
17936,-99999
5404,105
9323,45
9323,83
9323,103
9323,128
9323,130
9323,133
220,-99999
12172,44
12172,70
12172,75
12172,78
12172,79
12172,80
12172,81
12172,92
12172,102
12172,111
3481,-99999
4243,20
4243,126
15458,44
15458,45
15458,70
15458,75
15458,78
15458,79
15458,83
15458,102
1122,110
871,4
871,5
871,88
12196,75
12196,78
12196,79
12196,92
12196,102
12196,111
7061,5
7061,91
15369,88
3265,77
3265,95
3265,116
4223,47
4223,76
4223,80
4223,100
4223,101
4223,115
4223,117
4323,-99999
9801,45
9801,71
9801,75
9801,78
9801,79
9801,83
9801,102
9801,104
9801,129
2148,-99999
4007,42
4007,45
4007,83
4007,103
4007,104
4007,105
4007,109
4007,-6
17050,9
12376,92
12376,102
12376,111
6041,53
6041,58
6041,89
15247,111
15247,112
12064,110
14354,4
14354,45
14354,93
14354,109
14354,-8
14354,-9
4080,76
4080,77
7013,-99999
17040,82
15097,-99999
2415,53
2415,59
2415,75
2415,77
2415,78
2415,79
2415,91
2415,92
2415,102
2415,111
7823,-99999
16403,-99999
1968,53
1968,55
1968,56
1968,57
1968,58
17651,5
312,20
312,77
312,126
15506,-99999
15504,88
13681,1
13681,10
6771,88
217,4
217,5
217,8
217,87
217,94
15005,3
15005,5
15005,27
15005,135
18514,78
18514,80
18514,81
18514,115
3698,1
3698,77
820,71
820,75
820,76
820,78
6958,91
13182,-99999
10502,82
18187,126
11689,-99999
14400,-99999
11668,5
18424,77
18424,80
18424,81
2410,59
2410,88
4038,71
4038,76
18500,-99999
8245,75
8245,78
5249,-99999
19708,91
18315,76
18315,80
18315,100
18315,104
1093,92
1093,111
1093,128
1093,130
1093,133
12687,42
12687,74
12687,103
12687,105
12687,129
8060,-99999
14241,-99999
1951,45
1951,53
